State,FIPS,County,Veteran Population,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients
IA,19015,BOONE,2190.64,5737648.81,2866803.92,0,343276.62,0,0,165405.87,2362162.39,493.21
IA,19017,BREMER,2070.21,3602810.31,1670659.03,0,144821.93,0,0,236641.48,1550687.87,414.18
IA,19019,BUCHANAN,1724.76,4398442.93,1681809.06,0,170661.83,0,0,120596.07,2425375.98,390.17
IA,19021,BUENA VISTA,1347.27,3997084.56,1935815.11,0,89212.74,0,0,104261.31,1867795.39,576.25
IA,19023,BUTLER,1334.16,3235958.18,1525831.24,0,77777.69,0,0,85486.22,1546863.03,407.18
IA,19025,CALHOUN,1193.58,3488426.41,1457492.66,0,54717.54,0,0,36200.79,1940015.43,402.17
IA,19027,CARROLL,1786.65,4154884.67,2141068.99,0,110735.53,0,0,132002.53,1771077.62,470.2
IA,19029,CASS,1169.28,4171972.32,1942016.95,0,60660.92,0,0,111649.97,2057644.49,361.16
IA,19031,CEDAR,1746,5605021.98,1704155.31,0,196880.43,0,0,533723.35,3170262.9,464.2
IA,19033,CERRO GORDO,3629.78,15960643.67,8602828.97,0,377518.44,0,0,370453.01,6609843.25,1654.72
IA,19035,CHEROKEE,989.75,3742964.38,1512153.07,0,77440.64,0,0,175384.94,1977985.73,446.19
IA,19037,CHICKASAW,1135.02,2909059.06,1077007.46,0,94454.86,0,0,148588.58,1589008.15,408.18
IA,19039,CLARKE,743.42,3569835.98,1671286.51,0,96990.1,0,0,10556.73,1791002.63,246.11
IA,19041,CLAY,1564.91,4503763.51,1988327.55,0,128307.7,0,0,67715.17,2319413.1,557.24
IA,19043,CLAYTON,1767.82,5676938.38,2453262.38,0,169051.71,0,0,120999.58,2933624.71,587.25
IA,19045,CLINTON,4569.21,13708949.16,5575218.83,0,430000.77,0,0,223034.18,7480695.37,1323.57
IA,19047,CRAWFORD,1278.23,4173872.35,2300735.21,0,97181.95,0,0,62630.68,1713324.51,411.18
IA,19049,DALLAS,3665.77,11815097.67,4981430.92,0,583495.07,0,0,461716.6,5788455.08,781.34
IA,19051,DAVIS,673.61,2087731.47,1217960.34,0,95515.76,0,0,8289.05,765966.32,177.08
IA,19053,DECATUR,678.93,2604438.69,947359.65,0,34426.61,0,0,74096.57,1548555.85,198.09
IA,19055,DELAWARE,1337.15,3320196.9,1509981.32,0,83191.34,0,0,58863.7,1668160.54,378.16
IA,19057,DES MOINES,3652.8,12420889.91,5165221.34,0,515000.53,0,0,220409.66,6520258.38,908.39
IA,19059,DICKINSON,1694.01,6010599.16,2281663.92,0,187038.98,0,0,235659.24,3306237.02,656.28
IA,19061,DUBUQUE,7293.21,24535198.17,11873467.92,0,647239.05,0,0,446151.75,11568339.45,2354.02
IA,19063,EMMET,851.68,2952889.36,1276119.65,0,154398.12,0,0,116257.36,1406114.23,334.14
IA,19065,FAYETTE,1698.98,5569739.02,2357227.67,0,178294.38,0,0,48164.46,2986052.5,552.24
IA,19067,FLOYD,1467.15,5283776.31,2771475.81,0,167472.83,0,0,146534.75,2198292.92,597.26
IA,19069,FRANKLIN,1084.15,2815523.71,1082639.45,0,85524.25,0,0,47481.58,1599878.42,294.13
IA,19071,FREMONT,777.77,3622862.07,1489575.02,0,111055.77,0,0,12327.35,2009903.92,182.08
